127.0.0.1 - - [05/Nov/2022:13:47:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:47:21 +0530] "GET /ServletConcepts/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:48:10 +0530] "GET /ServletConcepts/index.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:49:24 +0530] "GET /ServletConcepts/index.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:49:26 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:50:25 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:50:26 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:50:26 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:50:45 +0530] "GET /ServletConcepts HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:50:45 +0530] "GET /ServletConcepts/ HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:50:47 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:51:53 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:54:48 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:56:12 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:56:23 +0530] "GET /ServletConcepts/app HTTP/1.1" 200 54
